KDE-setosa,KDE-versicolor,KDE-virginica,Cl
2.0841981533445792e-58,0.00622657369972075,1.5079265008525127e-57,Iris-versicolor
1.051581491222687e-130,3.253425735674415e-05,1.3423292405342923e-12,Iris-versicolor
0.0,1.9962698748354278e-13,6.352145444807908e-05,Iris-virginica
0.030642295643764354,6.144736000145802e-149,4.7446078199399156e-307,Iris-setosa
8.783668965899587,1.8544303629180224e-112,5.79033501370086e-268,Iris-setosa
3.3190906283528415e-238,0.17609540028216067,0.00019980604859676248,Iris-versicolor
0.0,1.8132778372002568e-26,0.3591565383996347,Iris-virginica
3.903747952046937e-146,1.199575878532831,1.004757999657723e-16,Iris-versicolor
2.1831670728452634e-192,0.8300912727321945,2.1944798549200046e-07,Iris-versicolor
0.13417556086299753,8.019343494406397e-135,9.407415106839725e-301,Iris-setosa
